"Ranking" "Title" "Year" "Domestic" "Foreign" "Worldwide" "Budget" "Rating" "Best_Picture" "Genre" "All_Genres" "Director"
"167" 167 "Top Gun" 1986 176.800003051758 168 344.799987792969 NA "PG" "." "Act" "Act_Com_Rom" "T. Scott"
"168" 168 "Rise of the Planet of the Apes" 2011 176.699996948242 305.100006103516 481.799987792969 93 "PG-13" "." "Act" "Act_Dra_SciF_Thr" "R. Wyatt"
"169" 169 "The Karate Kid" 2010 176.600006103516 182.5 359.100006103516 40 "PG" "." "Act" "Act_Dra_Fm_Spo" "H. Zwart"
"170" 170 "Captain America: The First Avenger" 2011 176.600006103516 191.800003051758 368.399993896484 140 "PG-13" "." "Act" "Act_Adv_SciF_Thr" "J. Johnston"
"171" 171 "There's Something About Mary" 1998 176.5 183.600006103516 360.100006103516 25 "R" "." "Com" "Com_Rom" "B. Farrelly/P. Farrelly"
"172" 172 "Ice Age" 2002 176.399993896484 202 378.399993896484 60 "PG" "." "Adv" "Adv_Ani_Com" "C. Saldanha/C. Wedge"
"173" 173 "The Bourne Supremacy" 2004 176 112.199996948242 288.200012207031 75 "PG-13" "." "Adv" "Adv_Mys_Thr_Act_Dra" "P. Greengrass"
"174" 174 "Crocodile Dundee" 1986 174.800003051758 153.399993896484 328.200012207031 NA "PG-13" "." "Adv" "Adv_Com" "P. Faiman"
"175" 175 "Home Alone 2: Lost in New York" 1992 173.600006103516 106 279.600006103516 NA "PG" "." "Com" "Com" "C. Columbus"
"176" 176 "Elf" 2003 173.399993896484 13 186.399993896484 33 "PG" "." "Com" "Com_Fam_Fan" "J. Favreau"
"177" 177 "Air Force One" 1997 173 142.100006103516 315.100006103516 85 "R" "." "Act" "Act_Thr_Adv_Dra" "W. Petersen"
"178" 178 "National Treasure" 2004 173 174.399993896484 347.399993896484 NA "PG" "." "Adv" "Adv_Act" "J. Turteltaub"
"179" 179 "Rain Man" 1988 172.800003051758 240 412.799987792969 NA "R" "won" "Com" "Com_Dra" "B. Levinson"
"180" 180 "Apollo 13" 1995 172.100006103516 162 334.100006103516 62 "PG" "nominated" "Dra" "Dra" "R. Howard"
