"Region" "CountryName" "CountryCode" "BirthRate" "DeathRate" "InfantDeaths" "FertilityRate" "GNI" "LifeExpectancyFemales" "LifeExpectancyMales"
"118" "South Asia" "Pakistan" "PAK" 27.2779998779297 7.46400022506714 60.4000015258789 3.42300009727478 1050 66.1289978027344 64.3130035400391
"119" "Latin America & Caribbean" "Panama" "PAN" 19.8980007171631 4.99900007247925 17.1000003814697 2.48399996757507 7010 78.6520004272461 73.4240036010742
"120" "East Asia & Pacific" "Papua New Guinea" "PNG" 30.2049999237061 7.57800006866455 46 3.95099997520447 1300 64.5989990234375 60.3849983215332
"121" "Latin America & Caribbean" "Paraguay" "PRY" 24.2040004730225 5.46099996566772 19.8999996185303 2.9539999961853 2730 74.4189987182617 70.2369995117188
"122" "Latin America & Caribbean" "Peru" "PER" 20.3939990997314 5.41900014877319 15.1000003814697 2.50099992752075 4900 76.4540023803711 71.2040023803711
"123" "East Asia & Pacific" "Philippines" "PHL" 25.0869998931885 5.79400014877319 21 3.14199995994568 2060 71.9150009155273 65.2170028686523
"124" "Europe & Central Asia" "Poland" "POL" 10.8000001907349 9.89999961853027 5.19999980926514 1.37999999523163 12450 80.5999984741211 72.0999984741211
"125" "Europe & Central Asia" "Portugal" "PRT" 9.5 10 2.90000009536743 1.32000005245209 21830 82.0999984741211 76.0999984741211
"126" "Latin America & Caribbean" "Puerto Rico" "PRI" 13.2709999084473 7.72499990463257 NA 1.79700005054474 16560 82.9540023803711 75.0650024414062
"127" "Middle East & North Africa" "Qatar" "QAT" 12.7080001831055 1.51800000667572 6.69999980926514 2.27099990844727 73060 77.7580032348633 78.4209976196289
"128" "Europe & Central Asia" "Romania" "ROM" 9.89999961853027 12.1000003814697 11.6999998092651 1.37999999523163 7850 77.3000030517578 69.8000030517578
"129" "Europe & Central Asia" "Russian Federation" "RUS" 12.5 14.1999998092651 10.3000001907349 1.53999996185303 9880 74.9000015258789 63
"130" "Sub-Saharan Africa" "Rwanda" "RWA" 41.0149993896484 11.7950000762939 41.5 5.37099981307983 520 56.375 53.8019981384277
"131" "East Asia & Pacific" "Samoa" "WSM" 24.6189994812012 5.42999982833862 16.2000007629395 3.85999989509583 3030 75.4820022583008 69.2819976806641
"132" "Sub-Saharan Africa" "Sao Tome and Principe" "STP" 31.1679992675781 7.77799987792969 58.2999992370605 3.65700006484985 1250 65.786003112793 62.9809989929199
"133" "Middle East & North Africa" "Saudi Arabia" "SAU" 21.6350002288818 3.73699998855591 8.5 2.81100010871887 16610 74.9879989624023 72.7669982910156
"134" "Sub-Saharan Africa" "Senegal" "SEN" 37.3810005187988 8.96700000762939 48 4.81899976730347 1080 60.0219993591309 57.9370002746582
"135" "Europe & Central Asia" "Serbia" "SRB" 9.39999961853027 14.1999998092651 6.40000009536743 1.39999997615814 5630 76.5999984741211 71.4000015258789
"136" "Sub-Saharan Africa" "Seychelles" "SYC" 18.3999996185303 8 11.8000001907349 2.5 10460 77.9000015258789 68.4000015258789
"137" "Sub-Saharan Africa" "Sierra Leone" "SLE" 38.6069984436035 15.7080001831055 120.900001525879 4.98199987411499 340 48.023998260498 46.810001373291
"138" "East Asia & Pacific" "Singapore" "SGP" 9.30000019073486 4.40000009536743 2.09999990463257 1.14999997615814 39410 84.0999984741211 79.3000030517578
"139" "Europe & Central Asia" "Slovak Republic" "SVK" 11.1000003814697 9.80000019073486 6.80000019073486 1.39999997615814 16030 78.8000030517578 71.5999984741211
"140" "Europe & Central Asia" "Slovenia" "SVN" 10.8999996185303 9.10000038146973 2.29999995231628 1.57000005245209 23910 82.6999969482422 76.3000030517578
"141" "East Asia & Pacific" "Solomon Islands" "SLB" 31.9120006561279 5.77600002288818 18.8999996185303 4.22900009155273 1030 68.8850021362305 66.1129989624023
"142" "Sub-Saharan Africa" "South Africa" "ZAF" 21.17799949646 14.8870000839233 35.5 2.45799994468689 6090 52.7750015258789 51.4210014343262
"143" "Europe & Central Asia" "Spain" "ESP" 10.5 8.30000019073486 3.70000004768372 1.38999998569489 31460 84.6999969482422 78.6999969482422
"144" "South Asia" "Sri Lanka" "LKA" 18.1639995574951 6.58599996566772 10.8000001907349 2.31299996376038 2260 77.8679962158203 71.7269973754883
"145" "Latin America & Caribbean" "St. Lucia" "LCA" 13 5.69999980926514 14 1.98000001907349 6200 77.1949996948242 71.8160018920898
"146" "Latin America & Caribbean" "St. Vincent and the Grenadines" "VCT" 17.0610008239746 7.30700016021729 19.2999992370605 2.06399989128113 6030 74.2740020751953 70.0540008544922
"147" "Sub-Saharan Africa" "Sudan" "SDN" 32.7709999084473 8.95800018310547 57.5 4.40000009536743 1300 62.9249992370605 59.3779983520508
"148" "Latin America & Caribbean" "Suriname" "SUR" 18.3899993896484 7.19999980926514 26.2999992370605 2.33599996566772 7640 73.681999206543 67.1480026245117
"149" "Sub-Saharan Africa" "Swaziland" "SWZ" 29.3719997406006 14.3649997711182 71.4000015258789 3.36400008201599 2930 47.9099998474121 48.7550010681152
"150" "Europe & Central Asia" "Sweden" "SWE" 12.3000001907349 9.60000038146973 2.29999995231628 1.98000001907349 50580 83.5 79.5
"151" "Europe & Central Asia" "Switzerland" "CHE" 10.3000001907349 8 4 1.5 71590 84.5 80.0999984741211
"152" "Middle East & North Africa" "Syrian Arab Republic" "SYR" 22.7889995574951 3.53699994087219 13.6999998092651 2.93400001525879 2750 77.2959976196289 74.1849975585938
"153" "Europe & Central Asia" "Tajikistan" "TJK" 27.8509998321533 6.20100021362305 54.7999992370605 3.29699993133545 810 70.5820007324219 64.0960006713867
"154" "Sub-Saharan Africa" "Tanzania" "TZA" 41.3810005187988 10.4670000076294 47.7999992370605 5.54400014877319 530 58.3120002746582 56.5069999694824
"155" "East Asia & Pacific" "Thailand" "THA" 12.1350002288818 7.3769998550415 11 1.5789999961853 4150 77.3860015869141 70.6340026855469
